ID	p10_12M	p103_12M	p103_4M	p103_B	p10_4M	p105_12M	p105_4M	p105_B	p10_B	p1_12M	p12_12M	p12_4M	p128_12M	p128_4M	p128_B	p12_B	p133_12M	p133_4M	p133_B	p137_12M	p137_4M	p137_B	p1_4M	p150_12M	p150_4M	p150_B	p157_12M	p157_4M	p157_B	p172_12M	p172_4M	p172_B	p179_12M	p179_4M	p179_B	p180_12M	p180_4M	p180_B	p181_12M	p181_4M	p181_B	p184_12M	p184_4M	p184_B	p195_12M	p195_4M	p195_B	p1_B	p201_12M	p201_4M	p201_B	p203_12M	p203_4M	p203_B	p224_12M	p224_4M	p224_B	p229_12M	p229_4M	p229_B	p238_12M	p238_4M	p238_B	p240_12M	p240_4M	p240_B	p244_12M	p244_4M	p244_B	p256_12M	p256_4M	p256_B	p258_12M	p258_4M	p258_B	p263_12M	p263_4M	p263_B	p265_12M	p265_4M	p265_B	p268_12M	p268_4M	p268_B	p275_12M	p275_4M	p275_B	p276_12M	p276_4M	p276_B	p281_12M	p281_4M	p281_B	p282_12M	p282_4M	p282_B	p332_12M	p332_4M	p332_B	p335_12M	p335_4M	p335_B	p338_12M	p338_4M	p338_B	p341_12M	p341_4M	p341_B	p343_12M	p343_4M	p343_B	p345_12M	p345_4M	p345_B	p350_12M	p350_4M	p350_B	p377_12M	p377_4M	p377_B	p385_12M	p385_4M	p385_B	p387_12M	p387_4M	p387_B	p397_12M	p397_4M	p397_B	p42_12M	p42_4M	p42_B	p45_12M	p45_4M	p45_B	p503_12M	p503_4M	p503_B	p504_12M	p504_4M	p504_B	p507_12M	p507_4M	p507_B	p511_12M	p511_4M	p511_B	p521_12M	p521_4M	p521_B	p527_12M	p527_4M	p527_B	p53_12M	p532_12M	p532_4M	p532_B	p53_4M	p536_12M	p536_4M	p536_B	p53_B	p546_12M	p546_4M	p546_B	p549_12M	p549_4M	p549_B	p560_12M	p560_4M	p560_B	p565_12M	p565_4M	p565_B	p567_12M	p567_4M	p567_B	p570_12M	p570_4M	p570_B	p572_12M	p572_4M	p572_B	p577_12M	p577_4M	p577_B	p582_12M	p582_4M	p582_B	p585_12M	p585_4M	p585_B	p587_12M	p587_4M	p587_B	p589_12M	p589_4M	p589_B	p590_12M	p590_4M	p590_B	p591_12M	p591_4M	p591_B	p599_12M	p599_4M	p599_B	p608_12M	p608_4M	p608_B	p615_12M	p615_4M	p615_B	p622_12M	p622_4M	p622_B	p624_12M	p624_4M	p624_B	p626_12M	p626_4M	p626_B	p635_12M	p635_4M	p635_B	p637_12M	p637_4M	p637_B	p640_12M	p640_4M	p640_B	p70_12M	p70_4M	p70_B	p7_12M	p7_4M	p78_12M	p78_4M	p78_B	p7_B	p82_12M	p82_4M	p82_B	p9_12M	p9_4M	p9_B
k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377	0	0	0.00654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377	0	0	0.00654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377	0	0	0.00654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377	0	0	0.00654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377	0	0	0.00654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377	0	0	0.00654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377	0	0	0.00654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	99.93095	99.99773	100	93.85507	100	100	99.79623	100	100	99.98937	99.74677	100	99.98861	100	100	100	99.99919	100	99.8915	100	99.9512	100	99.9358	92.92223	99.92751	100	100	100	100	100	100	100	100	96.24968	100	100	100	100	99.99623	100	99.99922	99.98782	99.99912	99.94017	99.90252	99.08484	99.75137	100	99.97423	99.95964	100	98.24357	100	100	100	100	99.85341	99.9983	100	100	100	100	100	100	100	100	100	99.96127	100	99.98647	99.8014	100	100	100	100	100	100	100	99.99846	100	100	100	99.79911	99.83045	99.92541	100	100	100	99.99839	100	100	99.96396	100	100	99.55234	100	99.99594	99.94821	99.9445	100	96.42148	100	99.99843	100	100	100	99.98917	100	100	100	99.9893	99.83293	99.99372	100	99.99306	99.99904	99.99923	99.98885	99.91704	100	99.96743	99.39136	100	100	98.91593	100	100	100	100	100	100	99.99803	100	100	100	100	100	100	100	100	99.97154	99.50467	99.98777	100	99.99889	100	100	99.98819	100	100	100	100	100	99.97352	100	100	100	99.95262	100	100	100	100	94.61544	99.95042	100	100	100	100	99.98019	100	99.70665	100	100	100	100	98.88526	100	99.94996	100	100	100	100	100	99.96533	100	99.8653	100	100	100	99.82713	99.99809	99.96053	99.81159	100	100	100	100	99.9995	100	100	99.99357	99.80515	99.8856	100	100	99.95528	100	99.98623	100	100	99.97801	100	100	100	100	100	99.99766	100	100	100	100	100	100	99.84953	100	99.69804	99.86379	100	100	100	100	99.99811	99.95572	100	99.99284	99.95258	100	100	99.87763	100	99.58154	100	100	99.99893	99.75801	100
k__Bacteria|p__Actinobacteria	16.28482	1.13584	0.03524	44.03179	30.95481	4.18543	83.6433	96.93583	0.25852	1.99289	0.58131	14.13229	10.55159	19.57555	12.47548	3.69663	13.96807	71.58729	0.03458	0.58779	67.64356	0.58872	56.87061	0.12167	23.77199	0.0113	7.15685	28.94518	0.43648	5.90904	0.37127	21.80936	19.96299	20.76982	1.04308	0.81123	0.02425	0.50383	4.83121	77.07402	0.86369	1.23119	85.30157	18.66672	21.56103	59.70969	4.23204	24.32566	8.64124	70.24521	43.32806	0.9876	38.18246	1.15234	0.04109	8.66739	0.04962	5.31224	79.58843	10.42701	0.50149	82.3132	0.03985	30.22871	32.26612	0.00248	6.17159	83.46853	6.42842	13.49271	87.26725	61.94274	2.40043	0.20233	0.0353	3.1633	62.89878	18.33763	7.00872	81.04564	0.56443	6.3892	58.48227	50.33314	5.19597	90.69815	5.95157	8.17184	71.21913	24.71043	0.89535	74.61578	66.16684	3.08608	92.55512	20.4297	3.79129	48.35109	27.3002	9.78748	77.71688	7.08422	4.3546	69.87742	4.33759	0.53377	33.59602	47.40425	0.58311	40.60576	96.68912	0.88705	84.72937	84.19747	16.4798	49.74598	7.10811	21.60845	45.48195	68.57421	2.89592	91.68201	5.27305	0.56145	71.48186	3.34484	4.90547	81.83984	97.17912	10.67873	40.55737	16.44933	68.80251	16.64509	5.13649	11.40212	51.57406	39.01915	6.57005	3.20044	1.1807	22.97832	71.92477	86.40952	0.8091	21.64778	22.48168	0.42694	39.76865	0.00627	5.1041	43.09661	0.04467	21.81647	0.23413	26.34898	0.30597	13.00943	0.68066	76.58431	0.63999	44.39304	4.6763	30.73534	0.06923	1.1467	14.48401	0.00342	1.71101	54.79861	0.59477	1.17629	32.88598	21.18814	28.6036	53.03927	0.10966	8.47647	19.09678	0.80638	3.00329	34.83421	46.66634	27.33268	23.10444	0	3.34476	58.61613	0.10478	3.47313	95.64488	0.00713	5.93951	24.14928	1.96335	6.3732	30.97003	92.87923	7.84846	31.43867	12.86245	0.02151	28.4373	74.76584	6.73053	90.44509	56.96109	15.65415	90.76572	70.19516	9.44663	70.81355	27.56261	20.13144	90.93765	3.17194	3.80126	17.80439	2.35227	7.01914	64.3051	0.59381	2.86473	86.00903	75.32975	1.57824	69.8923	82.1999	4.91098	0.10563	30.38616	3.21909	65.23341	0.80638	13.21846	83.95549	11.49918	49.01486	92.49599	43.18027	5.58563	30.54203	21.52941	1.47058	0.7634	0.00437
k__Bacteria|p__Actinobacteria|c__Actinobacteria	16.28482	1.13584	0.03524	44.03179	30.95481	4.18543	83.6433	96.93583	0.25852	1.99289	0.58131	14.13229	10.55159	19.57555	12.47548	3.69663	13.96807	71.58729	0.03458	0.58779	67.64356	0.58872	56.87061	0.12167	23.77199	0.0113	7.15685	28.94518	0.43648	5.90904	0.37127	21.80936	19.96299	20.76982	1.04308	0.81123	0.02425	0.50383	4.83121	77.07402	0.86369	1.23119	85.30157	18.66672	21.56103	59.70969	4.23204	24.32566	8.64124	70.24521	43.32806	0.9876	38.18246	1.15234	0.04109	8.66739	0.04962	5.31224	79.58843	10.42701	0.50149	82.3132	0.03985	30.22871	32.26612	0.00248	6.17159	83.46853	6.42842	13.49271	87.26725	61.94274	2.40043	0.20233	0.0353	3.1633	62.89878	18.33763	7.00872	81.04564	0.56443	6.3892	58.48227	50.33314	5.19597	90.69815	5.95157	8.17184	71.21913	24.71043	0.89535	74.61578	66.16684	3.08608	92.55512	20.4297	3.79129	48.35109	27.3002	9.78748	77.71688	7.08422	4.3546	69.87742	4.33759	0.53377	33.59602	47.40425	0.58311	40.60576	96.68912	0.88705	84.72937	84.19747	16.4798	49.74598	7.10811	21.60845	45.48195	68.57421	2.89592	91.68201	5.27305	0.56145	71.48186	3.34484	4.90547	81.83984	97.17912	10.67873	40.55737	16.44933	68.80251	16.64509	5.13649	11.40212	51.57406	39.01915	6.57005	3.20044	1.1807	22.97832	71.92477	86.40952	0.8091	21.64778	22.48168	0.42694	39.76865	0.00627	5.1041	43.09661	0.04467	21.81647	0.23413	26.34898	0.30597	13.00943	0.68066	76.58431	0.63999	44.39304	4.6763	30.73534	0.06923	1.1467	14.48401	0.00342	1.71101	54.79861	0.59477	1.17629	32.88598	21.18814	28.6036	53.03927	0.10966	8.47647	19.09678	0.80638	3.00329	34.83421	46.66634	27.33268	23.10444	0	3.34476	58.61613	0.10478	3.47313	95.64488	0.00713	5.93951	24.14928	1.96335	6.3732	30.97003	92.87923	7.84846	31.43867	12.86245	0.02151	28.4373	74.76584	6.73053	90.44509	56.96109	15.65415	90.76572	70.19516	9.44663	70.81355	27.56261	20.13144	90.93765	3.17194	3.80126	17.80439	2.35227	7.01914	64.3051	0.59381	2.86473	86.00903	75.32975	1.57824	69.8923	82.1999	4.91098	0.10563	30.38616	3.21909	65.23341	0.80638	13.21846	83.95549	11.49918	49.01486	92.49599	43.18027	5.58563	30.54203	21.52941	1.47058	0.7634	0.00437
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0	0.00517	0.03503	0.04469	0.05822	0.00473	0.34241	0.02633	0.0061	0	0.03333	0.20228	0	0.28673	0.94297	0.04031	0	0.08308	0.01016	0.00484	0.23372	0.01481	0.76547	0	0.07374	0	0.0193	0.04274	0	0	0.03725	0.02618	0	0.00886	0.01845	0.01736	0.02425	0.03514	0	0.40638	0.0017	0	0.01242	0.14213	0.00129	0.16432	0	0.01043	0	0.07073	0.00753	0	1.63621	0.03906	0.00774	0.28315	0.00401	0.05399	2.26824	0.01967	0.04001	0.33123	0	0.11156	0.05336	0	0	0.03127	0.03665	0.01435	0.07667	0.05905	0.00495	0.20233	0	0.02023	0.56008	1.00259	0.02695	0.13933	0.56209	0.00269	0.03545	0.04363	0.02249	0.26646	0	0.01008	0.00923	0.00928	0	0.32966	0.0336	0.03894	1.84582	0.12	0.00592	1.40446	0.31161	0.05366	0.05095	0.01965	0.00287	0.10872	0.00774	0	1.41434	0	0.00205	0.07714	0	0	0.06803	0.176	0	0.05302	0.1127	0.00333	1.1914	0	0.03744	0.14647	5.27027	0.0003	1.58484	0.00928	0	0.37366	0.03129	0.01565	0.17918	0.46491	0.0206	0.02685	0	0	0.00187	0.04907	0.00437	0.1129	1.168	0.02366	0.47087	0.01746	0.01534	0.02197	0.05074	0	0.00344	0	0.02933	0.01878	0	0.00011	0	0.34512	0.26353	0.01647	0.00038	0.0777	0.63936	0.2155	0.00479	0.1687	0.06923	0	0.01189	0	0	0.18519	0.57266	0.0073	0.12415	0.00012	0.01244	0.65312	0.10664	0.03146	0.03257	0.03405	0.00301	0.12689	0.00929	0	0.06739	0	0.3302	0.03735	0.03318	0.05297	0.02058	0.00546	0	0.02071	0.09411	0.12416	0.2233	0	0.0237	0.50295	0.01106	0.01991	0.13267	0	0.02449	0.48508	0.0115	0.10292	0.03385	0.32796	0.00461	0.11117	1.33136	0	0.40456	0	0.02687	0	0.06763	0	0.58813	0	0.00417	0.29382	1.65443	0	1.2862	0.11845	0.00072	0.02292	0.33248	0.00232	0.00273	0.03405	0	0.22578	0	0.62958	0.09166	0.01662	0	0.90903	0.0142	0.01971	0.20894	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0	0.00075	0.00084	0	0.01504	0	0	0.00154	0	0	0.01678	0.04406	0	0.25502	0	0	0	0.07845	0	0	0.2284	0	0.76455	0	0	0	0.00187	0.00506	0	0	0.03574	0	0	0.00886	0	0	0.02328	0	0	0.39161	0	0	0.01009	0	0.00129	0.00905	0	0	0	0.00045	0	0	1.16103	0	0	0.24057	0	0.00441	1.9485	0.00316	0	0.08581	0	0	0.03439	0	0	0.02168	0	0.00194	0.00471	0	0	0.00111	0	0.01285	0.55341	0	0	0	0.10061	0	0	0	0	0	0	0	0.0064	0	0	0.32643	0.01478	0	0.00711	0	0	1.39993	0.00895	0	0	0	0	0	0	0	1.41434	0	0	0.038	0	0	0.01933	0	0	0.01643	0	0.00052	0.51029	0	0.00212	0.01821	0	0	0.04709	0	0	0.1233	0.00198	0.01565	0.1784	0	0.0206	0.02604	0	0	0.00161	0	0.00437	0.08572	0	0	0.3733	0	0	0.02197	0.03941	0	0.00344	0	0	0	0	0.00011	0	0.31709	0	0.01647	0	0.01495	0	0	0.00479	0.16657	0	0	0	0	0	0.14244	0	0	0.11042	0	0.00698	0.33697	0	0	0.03257	0	0	0.11669	0.00018	0	0.02857	0	0.00299	0.02601	0	0.00182	0.00842	0	0	0	0	0.01485	0.10862	0	0	0.50216	0	0.00022	0.13267	0	0.00214	0.3252	0	0.10292	0.02263	0.01293	0.00461	0.09543	0	0	0.39969	0	0	0	0.03707	0	0.5403	0	0	0.01123	0	0	0.10065	0	0	0	0	0.00138	0	0	0	0.21219	0	0.62155	0	0	0	0.01104	0	0	0.18053	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01076	0	0	0.01657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00818	0	0	0.01005	0	0	0	0	0	0	0	0	0	0	0	0.0022	0	0	0	0.03707	0	0.00149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_massiliense	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_massiliense|t__GCF_000315465	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_schaalii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01076	0	0	0.00698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00818	0	0	0.01005	0	0	0	0	0	0	0	0	0	0	0	0.0022	0	0	0	0	0	0.00149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
