504,52,86,183,21,0,9,0
276,35,59,247,0,17,17,9
635,19,30,243,13,0,0,0
503,60,170,248,35,0,0,0
282,57,68,119,24,0,0,0
229,78,67,268,21,0,0,0
549,16,21,84,16,0,0,0
82,61,179,179,34,9,40,11
265,98,52,118,0,0,0,0
256,26,110,178,16,0,32,0
150,0,73,153,0,0,0,0
184,57,84,214,14,0,0,9
589,24,83,334,0,0,48,0
240,0,0,62,0,0,0,0
536,9,78,117,0,0,0,0
608,0,32,103,0,0,15,0
622,29,56,167,0,13,34,0
332,66,180,170,13,0,12,0
258,25,38,180,25,0,0,0
179,0,58,98,0,0,19,0
343,11,49,76,0,0,1,11
238,22,32,37,0,22,0,0
53,32,72,217,0,8,30,24
157,16,74,81,16,0,22,0
637,56,78,122,0,0,0,0
338,38,26,236,23,0,0,0
203,10,67,51,9,0,0,0
577,73,239,237,59,0,0,0
10,51,75,449,0,0,0,13
565,150,130,112,20,0,0,28
385,48,48,242,0,0,0,0
546,15,120,179,15,0,0,0
42,98,216,289,29,8,44,37
591,127,168,162,53,0,43,9
377,52,50,91,6,13,6,9
244,22,7,180,0,0,0,0
78,48,138,190,37,0,35,0
521,8,85,67,4,0,0,0
128,84,135,292,23,5,22,0
590,23,25,125,0,9,0,0
105,19,135,74,0,0,0,0
12,7,108,47,7,0,6,0
137,27,42,157,0,0,0,11
527,13,30,124,13,0,0,0
387,56,71,135,0,11,0,0
615,66,75,246,0,0,35,0
1,94,161,192,49,0,2,25
585,24,25,246,0,0,0,0
567,0,101,169,0,0,38,0
180,19,56,78,0,0,0,0
350,79,74,277,13,46,0,0
599,40,37,281,0,0,9,0
507,16,125,171,14,0,23,0
345,49,94,118,28,0,0,0
570,30,88,157,19,0,10,0
532,22,290,44,0,0,5,0
582,30,63,216,0,0,6,22
281,72,156,100,44,0,8,19
9,15,80,198,15,0,0,0
201,62,154,72,4,0,26,13
224,20,37,56,0,0,0,20
626,22,110,48,0,1,4,4
572,24,28,165,0,0,0,0
268,32,152,234,19,0,17,0
7,103,45,203,29,12,11,0
172,63,115,139,7,0,15,0
397,27,51,116,0,0,0,0
587,47,54,90,0,0,0,32
335,36,40,204,0,0,23,0
70,30,66,177,0,0,30,0
181,29,64,118,0,0,0,0
640,16,117,93,0,0,13,0
195,18,119,312,18,0,0,0
511,72,111,231,35,0,12,0
275,34,6,122,0,11,0,0
263,85,185,400,46,0,52,16
45,0,42,136,0,0,16,0
133,41,99,107,0,0,0,0
624,44,127,166,10,0,6,28
103,48,97,157,0,0,0,0
341,37,112,100,12,0,27,0
560,0,42,79,0,0,27,0
